BRANCH1,SUBJECT,YEAR,UNIT,QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,ANSWER,BRANCH
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,4,What is a contingency plan designed for?,Handling project delays,Responding to identified risks,Eliminating all risks,Avoiding costs,Responding to identified risks,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,5,What is the primary purpose of project evaluation?,To assess project performance against objectives,To increase project complexity,To delay project completion,To finalize resource allocation,To assess project performance against objectives,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,5,What is a common step in project closure?,Resource acquisition,Finalizing deliverables and documentation,Starting new tasks,Avoiding team meetings,Finalizing deliverables and documentation,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,5,Why is feedback important in project evaluation?,To identify future risks,To improve future project planning,To reduce team involvement,To eliminate stakeholder concerns,To improve future project planning,CSE-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,1,What is the primary objective of project management?,To increase project costs,To achieve project goals within constraints,To avoid risks,To delay project completion,To achieve project goals within constraints,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,1,Which phase of project management focuses on feasibility and planning?,Execution,Initiation,Closure,Monitoring,Initiation,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,1,What is a key characteristic of a successful project?,Unlimited resources,Clear objectives and deliverables,Open-ended timelines,Minimal team communication,Clear objectives and deliverables,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,2,What is a Gantt chart used for in project management?,To manage risks,To visualize project schedules,To calculate costs,To monitor quality,To visualize project schedules,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,2,What does the Critical Path Method (CPM) identify?,The most expensive tasks,The longest sequence of dependent tasks,Tasks with the least impact,Non-critical tasks,The longest sequence of dependent tasks,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,2,What is the main purpose of resource allocation in project planning?,To maximize costs,To optimize resource utilization,To eliminate project timelines,To create new resources,To optimize resource utilization,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,3,What is a key trait of an entrepreneur?,Risk-taking ability,Avoidance of challenges,Preference for routine tasks,Dependency on external motivation,Risk-taking ability,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,3,Which stage of entrepreneurship focuses on scaling the business?,Ideation,Start-up,Growth,Maturity,Growth,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,3,What is the primary purpose of a business model?,To maximize risks,To define value creation and delivery,To delay innovation,To minimize profits,To define value creation and delivery,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,4,What is the first step in risk management?,Risk evaluation,Risk identification,Risk avoidance,Risk allocation,Risk identification,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,4,Which risk response strategy involves reducing the probability of risk occurrence?,Risk transfer,Risk mitigation,Risk acceptance,Risk avoidance,Risk mitigation,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,4,What is a contingency plan designed for?,Handling project delays,Responding to identified risks,Eliminating all risks,Avoiding costs,Responding to identified risks,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,5,What is the primary purpose of project evaluation?,To assess project performance against objectives,To increase project complexity,To delay project completion,To finalize resource allocation,To assess project performance against objectives,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,5,What is a common step in project closure?,Resource acquisition,Finalizing deliverables and documentation,Starting new tasks,Avoiding team meetings,Finalizing deliverables and documentation,IT-4
IT,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,5,Why is feedback important in project evaluation?,To identify future risks,To improve future project planning,To reduce team involvement,To eliminate stakeholder concerns,To improve future project planning,IT-4
IT,SPM,4,1,What is the primary objective of software project management?,Increase project scope,Ensure project success within constraints,Reduce team size,Eliminate risks,Ensure project success within constraints,IT-4
IT,SPM,4,1,What is included in a software project management plan?,Budget only,"Project objectives, schedule, and resource allocation",Technical documentation,Customer feedback,"Project objectives, schedule, and resource allocation",IT-4
IT,SPM,4,1,What is the purpose of estimation methods in project planning?,To reduce costs,"To predict project resources, cost, and time requirements",To eliminate risks,To track errors,"To predict project resources, cost, and time requirements",IT-4
IT,SPM,4,2,What is a Work Breakdown Structure (WBS)?,A diagram of network protocols,A hierarchical decomposition of project tasks,A tool for managing resources,A database management method,A hierarchical decomposition of project tasks,IT-4
IT,SPM,4,2,What is the purpose of a Gantt chart in project scheduling?,To design algorithms,To visually represent the project timeline,To track errors,To allocate resources,To visually represent the project timeline,IT-4
IT,SPM,4,2,What is PERT used for in project management?,To optimize algorithms,To analyze task dependencies and estimate project duration,To manage budgets,To evaluate software quality,To analyze task dependencies and estimate project duration,IT-4
IT,SPM,4,3,What is Earned Value Analysis (EVA) used for in project monitoring?,To estimate project duration,To measure project performance and progress,To allocate resources,To improve code quality,To measure project performance and progress,IT-4
IT,SPM,4,3,Which metric measures the cost efficiency of a project?,Schedule Performance Index (SPI),Cost Performance Index (CPI),Budgeted Cost for Work Scheduled (BCWS),Total project cost,Cost Performance Index (CPI),IT-4
IT,SPM,4,3,What is the purpose of error tracking in project monitoring?,To increase project cost,To identify and resolve defects early,To design new features,To reduce team size,To identify and resolve defects early,IT-4
IT,SPM,4,4,What is the primary objective of software quality assurance?,To reduce software costs,To ensure the software meets specified quality standards,To eliminate testing,To develop new features,To ensure the software meets specified quality standards,IT-4
IT,SPM,4,4,What is a test case?,A tool for debugging,A set of conditions to validate software behavior,A document for project planning,A code analysis method,A set of conditions to validate software behavior,IT-4
IT,SPM,4,4,What is the Capability Maturity Model (CMM)?,A tool for debugging,A framework for improving software processes,A project scheduling technique,A cost estimation tool,A framework for improving software processes,IT-4
IT,SPM,4,5,What is the primary purpose of risk management in software projects?,To increase risks,"To identify, analyze, and mitigate potential risks",To reduce project scope,To eliminate constraints,"To identify, analyze, and mitigate potential risks",IT-4
IT,SPM,4,5,What is version control used for in software configuration management?,To improve software quality,To manage changes to code and documentation,To increase project cost,To analyze algorithms,To manage changes to code and documentation,IT-4
IT,SPM,4,5,Which tool is commonly used for project planning and scheduling?,MS Paint,MS Project,SQL Server,Python,MS Project,IT-4
CSE,DIGITAL MARKETING,4,1,What drives the shift from traditional to DIGITAL MARKETING practices?,Declining use of the internet,Trends in consumer behavior and technology advancements,Reduced consumer spending,Increased television viewership,Trends in consumer behavior and technology advancements,CSE-4
CSE,DIGITAL MARKETING,4,1,What characterizes a modern digital consumer?,Limited online presence,Active engagement in digital platforms,Focus on print media,Ignoring online advertisements,Active engagement in digital platforms,CSE-4
CSE,DIGITAL MARKETING,4,1,What is a key component of a marketing strategy for the digital world?,Focusing only on offline advertisements,Leveraging analytics and digital channels,Avoiding social media,Prioritizing direct mail,Leveraging analytics and digital channels,CSE-4
CSE,DIGITAL MARKETING,4,2,Which platform is best suited for professional networking?,Instagram,LinkedIn,Snapchat,TikTok,LinkedIn,CSE-4
CSE,DIGITAL MARKETING,4,2,What is the purpose of content planning in social media marketing?,To create random posts,To ensure consistency and relevance,To focus only on advertisements,To avoid scheduling,To ensure consistency and relevance,CSE-4
CSE,DIGITAL MARKETING,4,2,What is a fundamental aspect of creating a successful blog post?,Including lengthy paragraphs,"Using headlines, imagery, and links effectively",Avoiding images,Ignoring grammar,"Using headlines, imagery, and links effectively",CSE-4
CSE,DIGITAL MARKETING,4,3,What is the relationship between content and branding?,Branding decreases content quality,Content reinforces brand identity and drives engagement,Branding is irrelevant to content,Content doesn't affect sales,Content reinforces brand identity and drives engagement,CSE-4
CSE,DIGITAL MARKETING,4,3,What is the primary focus of search engine marketing?,Designing websites,Increasing visibility in search engine results,Removing website content,Reducing traffic to the website,Increasing visibility in search engine results,CSE-4
CSE,DIGITAL MARKETING,4,3,What does SEO stand for?,Simple Engine Optimization,Search Engine Optimization,Search Efficiency Operation,Secure Entry Online,Search Engine Optimization,CSE-4
